UAE,Dubai,1,Burj_Khalifa,828,163,2010
China,Shanghai,2,Shanghai_Tower,632,128,2015
Saudi_Arabia,Mecca,3,Abraj_Al-Bait_Clock_Tower,601,120,2012
China,Shenzhen,4,Ping_An_Finance_Centre,600,115,2016
South_Korea,Seoul,5,Lotte_World_Tower,555,123,2016
United_States,New_York_City,6,One_World_Trade_Center,541,104,2014
China,Guangzhou,7,CTF_Finance_Centre,530,111,2016
Taiwan,Taipei,8,Taipei_101,509,101,2004
China,Shanghai,9,Shanghai_World_Financial_Center,492,101,2008
China,Hong_Kong,10,International_Commerce_Centre,484,118,2010
Malaysia,Kuala_Lumpur,11,Petronas_Tower_1,452,88,1998
Malaysia,Kuala_Lumpur,12,Petronas_Tower_2,452,88,1998
China,Nanjing,13,Zifeng_Tower,450,89,2010
United_States,Chicago,14,Willis_Tower (formerly_the Sears_Tower),442,108,1974
China,Shenzhen,15,KK100,442,100,2011
China,Guangzhou,16,Guangzhou_International_Finance_Center,440,103,2010
China,Wuhan,17,Wuhan_Center,438,88,2016
UAE,Dubai,18,Marina_101,427,101,2015
United_States,New_York_City,19,432_Park_Avenue,426,88,2015
United_States,Chicago,20,Trump_International_Hotel_and_Tower[14],423,98,2009
China,Shanghai,21,Jin_Mao_Tower,421,88,1999
UAE,Dubai,22,Princess_Tower,414,101,2012
Kuwait,Kuwait_City,23,Al_Hamra_Tower,413,80,2011
China,Hong_Kong,24,Two_International_Finance_Centre,412,88,2003
UAE,Dubai,25,23_Marina,395,89,2012
China,Guangzhou,26,CITIC_Plaza,391,80,1996
Saudi_Arabia,Riyadh,27,Capital_Market_Authority_Headquarters,385,77,2016
China,Shenzhen,28,Shun_Hing_Square,384,69,1996
China,Dalian,29,Eton_Place_Dalian_Tower_1,383,81,2015
UAE,Abu_Dhabi,30,Burj_Mohammed_bin_Rashid,381,88,2014
United_States,New_York_City,31,Empire_State_Building,381,102,1931
UAE,Dubai,32,Elite_Residence,381,87,2012
China,Hong_Kong,33,Central_Plaza,374,78,1992
Russia,Moscow,33,Federation_Tower (East_Tower)[16],374,95,2015
China,Dalian,35,Dalian_International_Trade_Center,370,86,2016
UAE,Dubai,36,The_Address_the_BLVD,368,72,2016
China,Hong_Kong,37,Bank_of_China_Tower,367,70,1990
United_States,New_York_City,38,Bank_of_America_Tower,366,54,2009
UAE,Dubai,39,Almas_Tower,363,68,2009
UAE,Dubai,40,JW_Marriott_Marquis_Dubai_Tower_1,355,82,2012
UAE,Dubai,40,JW_Marriott_Marquis_Dubai_Tower_2,355,82,2012
UAE,Dubai,42,Emirates_Office_Tower,355,54,2000
Russia,Moscow,43,OKO_Tower_-_South_Tower,354,85,2015
UAE,Dubai,44,The_Marina_Torch,352,86,2011
China,Shenyang,45,Forum_66_Tower_2,351,68,2015
China,Guangzhou,46,The_Pinnacle,350,60,2012
Vietnam,Hanoi,46,Keangnam_Hanoi_Landmark_Tower,350,72,2011
Taiwan,Kaohsiung,48,Tuntex_Sky_Tower,347,85,1997
United_States,Chicago,49,Aon_Center,346,83,1973
China,Hong_Kong,50,The_Center,346,73,1998
United_States,Chicago,51,John_Hancock_Center,344,100,1969
UAE,Abu_Dhabi,52,ADNOC_Headquarters,342,76,2015
UAE,Dubai,52,Ahmed_Abdul_Rahim_Al_Attar_Tower,342,76,2015
China,Wuxi,54,The_Wharf_Times_Square,339,68,2014
China,Chongqing,54,Chongqing_World_Financial_Center,339,78,2014
Russia,Moscow,54,Mercury_City_Tower,339,75,2013
China,Tianjin,57,Tianjin_Modern_City_Office_Tower,338,65,2015
China,Tianjin,58,Tianjin_World_Financial_Center,337,79,2010
China,Guiyang,59,"Twin_Towers_Guiyang,_East_Tower",335,74,2017
China,Guiyang,59,"Twin_Towers_Guiyang,_West_Tower",335,74,2017
United_States,Los_Angeles,59,Wilshire_Grand_Center,335,73,2016
China,Shanghai,62,Shimao_International_Plaza,333,61,2005
UAE,Dubai,63,Rose_Tower,333,72,2007
China,Wuhan,64,Minsheng_Bank_Building,331,68,2008
China,Beijing,65,China_World_Trade_Center_Tower_3,330,74,2009
China,Zhuhai,65,Zhuhai_St._Regis_Hotel_&_Office_Tower,330,67,2017
China,Wuhan,65,Yuexiu_Fortune_Center_Tower_1,330,66,2017
North_Korea,Pyongyang,65,Ryugyong_Hotel,330,105,1992
China,Shenzhen,69,Hon_Kwok_City_Center,329,80,2015
China,Huaxi_Village,70,Longxi_International_Hotel,328,72,2011
China,Wuxi,70,Wuxi_Suning_Plaza_1,328,68,2014
UAE,Dubai,70,Al_Yaqoub_Tower,328,69,2013
UAE,Dubai,73,The_Index,326,80,2010
China,Nanning,74,Guangxi_Finance_Plaza,325,68,2016
China,Nanjing,75,Deji_Plaza_Phase_2,324,62,2013
UAE,Abu_Dhabi,75,The_Landmark,324,72,2012
China,Yantai,77,Yantai_Shimao_No.1_The_Harbour,323,59,2015
Australia,Gold_Coast,78,Q1,323,80,2005
China,Wenzhou,79,Wenzhou_World_Trade_Center,322,68,2010
UAE,Dubai,80,Burj_Al_Arab,321,60,1999
China,Hong_Kong,81,Nina_Tower,320,80,2007
China,Shanghai,82,Sinar_Mas_Center_1,320,66,2016
China,Guangzhou,83,Global_City_Square[17],319,67,2015
United_States,New_York_City,83,Chrysler_Building,319,77,1930
United_States,New_York_City,83,New_York_Times_Building,319,52,2007
UAE,Dubai,86,HHHR_Tower,317,72,2010
China,Chongqing,87,Chongqing_IFS_T1,316,65,2016
China,Nanjing,88,Nanjing_International_Youth_Cultural_Centre Tower_1[18],315,68,2015
China,Changsha,89,Changsha_IFS_Tower_T2,315,65,2017
Thailand,Bangkok,90,MahaNakhon,314,75,2016
