Gender,License_Status,Transport_Mode,Urban_Rural,Commute_Distance_km,Commute_Time_min,Fuel_Consumption_L_day,Physical_Activity_min_day,Vehicle_Age_years,Transport_Cost_$
Male,Yes,Walking,Urban,21.643204141241156,63.08815426689145,4.556307572572235,107.40562650535036,6.966663074865359,6.756969750713719
Female,No,Public Transport,Urban,16.565922369324902,38.39597981312787,3.738414724294503,125.64804097210134,10.417006634348795,12.802788766354503
Male,No,Public Transport,Urban,11.967483058921301,38.63255635170776,3.2641074900577136,126.7153376992431,8.975013964836915,7.915365645110553
Male,No,Public Transport,Rural,17.279520975853515,31.092162552096863,4.262609833141276,109.86185329531332,2.0829949885514356,9.556716873336958
Male,No,Walking,Urban,12.70454844890504,37.19407752067246,3.7242040369334304,135.89198425355752,0.0,9.86670006173686
Female,Yes,Bike,Rural,11.526998154184277,34.741247285504436,1.5422601720174103,144.57198516385262,12.078842777300311,5.751351447516965
Male,No,Walking,Rural,9.228186658835078,35.63056380595735,1.5646602942780348,152.4769480517076,11.80697483497836,1.1984492287024784
Male,Yes,Bike,Urban,6.240855966241405,28.458790393002683,1.4442169192388177,154.39779780672092,5.565360789287848,1.1631791225913273
Male,Yes,Walking,Urban,13.050381467202774,34.11544821253115,5.160482659459399,115.25824760690374,1.1885352632545354,14.850021243987154
Female,Yes,Walking,Rural,15.790267449600659,45.86466220250264,3.8337543239864065,106.84956643914146,7.889679601681817,4.462356949017216
Male,Yes,Bike,Rural,14.516881649925551,35.889436643669946,4.714442676143019,124.65880854349194,4.676048941962169,10.033419410781292
Male,Yes,Public Transport,Urban,12.920165360263207,27.47987053271268,3.2685965088501194,131.74159435319064,4.661056630680169,17.293552134603623
Male,No,Bike,Urban,10.271269696516095,33.91275688335463,2.084158786691455,127.92812747959178,7.683376529315387,2.306358072960795
Male,No,Car,Urban,18.041230958424844,41.38783738930854,4.26358331549177,108.28077227519334,6.003124240619895,14.102366664008684
Female,No,Car,Rural,8.414340400267076,21.096752195082594,1.9351653880378878,152.6548819686495,1.4425552669551642,3.0800611639532836
Male,No,Bike,Rural,18.880139569217377,46.688679108659755,5.323680631265082,92.96717514805906,4.025774194754078,14.83633701255414
Female,Yes,Walking,Rural,9.988914905366375,35.463576579001725,3.8718399939181483,151.09431239657866,6.983458785984039,11.642667056584022
Female,No,Car,Rural,11.237823813234826,51.727772432369356,3.1691368009950276,131.27339326146245,6.530756667215056,11.30971220803641
Female,Yes,Car,Rural,7.666074046921615,9.982342312731532,3.1035961904721594,161.91183493808006,5.786049723075427,7.158228995742072
Male,No,Walking,Urban,12.492989265571817,18.94878296773976,2.1584575787632687,124.69351847995374,7.8002688634275925,11.36279786317273
Female,Yes,Walking,Urban,19.876562292389895,58.380818023669015,4.554510064283443,90.22749600159862,3.9148490365482065,9.618265466953066
Male,Yes,Public Transport,Rural,17.578140442219784,52.89139928623693,3.670232576347279,105.10606833270367,5.536009325657216,9.878242681666878
Female,No,Walking,Rural,19.892110560140175,61.8629247479935,5.287472230909897,99.4800765286661,0.0,13.954511373927565
Female,Yes,Bike,Urban,17.61071272966968,48.36893303666559,4.043719797238006,105.67235001360648,3.6510494184715583,6.743395133246768
Female,Yes,Bike,Urban,9.481650857348153,26.43855958379014,3.100185651371234,139.91338235487623,7.291708725726933,6.8928473634907235
Female,No,Public Transport,Urban,13.346053878362213,43.71326574049266,2.4055117579581116,129.95543598331307,3.8288165986485723,6.498319892610501
Female,Yes,Car,Urban,11.099004354412687,43.70132198968645,2.817782061924453,133.89218888438526,3.601317824848664,5.7480920254228725
Female,No,Car,Rural,21.6528745201952,45.40813585740278,6.100076541061057,92.72737797969913,1.8756411446755443,22.572963249022248
Female,No,Walking,Urban,9.016056767868442,23.358775913290703,0.18871141692650006,126.84350893650027,8.010097678187437,0.0
Female,No,Bike,Rural,19.468488446945553,60.54355328024729,6.988753419066592,106.04302637232252,6.645389820621713,21.010156952087762
Male,Yes,Car,Urban,19.464769350543847,49.21454700552418,4.583040452756086,101.24888962090793,7.476243793469255,14.026980571336576
Male,Yes,Public Transport,Urban,24.148101008580436,89.7559993434143,4.011985338468936,99.51052577050696,0.0,9.988376942659524
