Remote_Work,Has_Health_Benefits,Department,Job_Level,Avg_Weekly_Work_Hours,Avg_Employee_Satisfaction_Score,Avg_Stress_Level,Performance_Score,Project_Deadlines_Met (%),Avg_Num_Annual_Projects_Completed
0,0,HR,Senior-Level,5.8892980312461,12.383445789283538,30.915353421182736,24.012311444325498,14.811955471485213,18.906403299655224
1,1,Finance,Senior-Level,5.48217780748661,17.105147855345667,20.21099146703882,24.930668695754584,14.227185119091537,13.77073786162299
1,1,Finance,Senior-Level,5.05501742080183,17.613331891173576,16.84109721294839,21.012383094938784,9.978552976559019,17.50913486534567
1,1,Finance,Senior-Level,4.54905602775051,28.240169060798994,26.31561670521203,35.19903416316013,18.08331151787677,28.108427289311702
0,1,HR,Senior-Level,29.94794484576595,10.566675512319184,15.092178640642466,10.90548099388738,-2.035998532246035,8.057218252545855
0,1,Marketing,Entry-Level,46.505641493983816,18.293134809196218,28.044519606738323,28.235701213032677,12.867492160555557,25.751025040810408
0,1,HR,Senior-Level,37.76829655734553,14.1318850509332,23.667399707331274,23.863439261214708,15.390421701659289,13.228565995964608
1,1,Marketing,Senior-Level,37.76191865203332,12.365502806809271,18.18116700482681,23.580689207376647,8.20919191653838,27.6113931797326
1,0,HR,Entry-Level,46.32297516841369,7.774072537032534,25.70009302663261,20.520183527725884,16.390186544205818,28.79824818141622
1,1,HR,Entry-Level,42.72041035655112,23.96817454781015,34.52503619407223,32.56173134233949,17.077889754469556,18.518631337975123
0,0,Marketing,Entry-Level,44.564903977756245,24.128234370983556,33.47957831929396,23.41895898959372,13.77166440017122,15.090086746197946
1,1,Finance,Entry-Level,47.74547728426289,13.857301891788312,28.79643122431461,31.34389563894266,17.441843329115333,15.554497641434825
1,1,Marketing,Entry-Level,37.34953293453342,14.660188961156305,21.009807800270515,23.248563366835178,8.163712748353852,21.052900773656418
0,0,IT,Entry-Level,35.102106123938,12.077456451366526,20.167161493087846,26.830754065818816,11.163433861103002,15.528775435491928
0,1,IT,Senior-Level,31.318795787537617,10.570977926292494,20.525659963623006,30.39872766558257,13.933031532497399,18.625045844833963
0,1,Marketing,Senior-Level,33.39671576016836,4.324275403639328,13.50240444448353,14.300666223770879,12.3888043813677,25.940103276900917
0,0,HR,Mid-Level,60.0,23.841588047715444,32.15898199759988,34.039016432762736,17.91479402997825,22.951245001929824
1,1,IT,Senior-Level,49.95743664589429,25.46025903179646,19.504907398176766,31.988668760692928,18.479168379408378,16.166261321180396
0,1,IT,Senior-Level,29.19140507033583,25.928202606035747,18.2683120120131,12.612571023978397,13.71582176421684,14.003166036605537
0,0,HR,Entry-Level,29.42033634605144,15.20490452184523,19.635789505328475,22.192506966011212,-0.027389691680188122,18.866430946908935
1,1,HR,Entry-Level,43.854928493747934,20.337746426274155,22.030167757833393,31.468012960207794,21.03309441803426,14.888542748623166
0,0,Finance,Senior-Level,44.37811837902373,17.384811496005604,32.60767618756954,30.373501812695054,13.738236652706963,19.997686925450232
0,1,HR,Mid-Level,44.39107068253892,16.966546709912038,18.61613407261974,28.76721365909957,17.551460387393657,26.68056758183465
0,1,Marketing,Entry-Level,37.960353651570415,21.812375347963158,13.838406459191095,30.436845620713513,19.175844436139048,8.793234491233049
0,1,Marketing,Senior-Level,38.9963659199768,18.996361192817293,22.860045388720497,18.45394519484557,6.691211571033779,18.597020195490483
1,1,Finance,Senior-Level,42.62303619327486,15.994726973195098,28.99489652926159,26.812001453981175,11.262488854368643,16.340018628603868
0,1,IT,Mid-Level,40.687144050346646,13.193969348996642,31.099917029213778,21.588696118848098,12.694310130686771,18.796516613784494
1,1,IT,Mid-Level,22.24559701801972,9.197649593802165,10.105965813912345,18.272842095557948,3.8106320603387847,13.486459609517663
1,1,HR,Entry-Level,38.16160295539845,14.49745738993542,26.665867643792108,14.54665083657139,21.934218278348972,18.151568176943922
0,1,Marketing,Mid-Level,33.18874852591749,14.90119237309156,18.30789752337853,20.482839914688196,7.247819330787352,9.774943436679111
1,0,IT,Senior-Level,41.4016913512681,17.475892895894958,22.215452944511142,27.402918658349286,11.607594535940121,15.988705058037146
0,1,Finance,Senior-Level,60.0,28.935707418617316,37.864164372149965,32.54612516425636,21.86939553581281,33.936124597132775
0,0,Finance,Mid-Level,42.93985332379444,12.989439534398034,27.19762312288722,23.551578294177776,8.909026726248321,20.826726901944777
1,0,Marketing,Mid-Level,37.491762510620816,22.324357749584603,13.01711281044133,23.374017337274335,11.048390749824549,20.949890601896264
1,0,Finance,Mid-Level,47.37441201581802,35.201335975198965,33.79067131194717,34.213614513371326,18.047861367536207,22.414542063263195
1,1,Finance,Mid-Level,43.861503097673705,25.69780658392436,31.350221728621804,22.090889119984308,13.575706466827151,23.639361541410835
0,1,Marketing,Entry-Level,43.36075592361473,20.597555428130587,21.04281941325639,22.65182472358403,14.599085829856351,17.38935730929166
0,1,HR,Mid-Level,44.85480474572537,24.58521617859635,26.98247983360229,33.500404905775945,12.93847804013022,16.199950011339766
1,0,HR,Entry-Level,56.45234851863633,20.34774557061847,33.93844442622657,33.714222697314014,12.042440694969915,29.036843788100597
0,1,Finance,Senior-Level,30.95289251739268,6.006636704386924,18.55747307474108,15.346218553132227,12.362780903457136,19.464125405255217
0,1,HR,Mid-Level,43.78905661449164,23.565522455958135,21.657855267434265,30.853641504429802,23.989501772589517,14.990011401916245
0,1,HR,Entry-Level,32.58895096014769,11.968324806019343,14.807977227475824,17.809564189333916,11.41528378735334,11.678390224447975
0,1,Finance,Mid-Level,44.44410117073799,13.258279438235629,24.64675287488206,32.754365360726794,16.568757148617593,19.03790687889068
1,1,HR,Senior-Level,32.650507908111244,10.283766087130134,24.064052919329455,16.97019835315315,14.808277832655095,22.684735984923783
0,1,Finance,Senior-Level,36.66106549115933,10.837974054391866,23.154018033219632,21.982960227432198,6.391509911002237,19.192883825293137
1,1,IT,Senior-Level,37.63928068609675,17.602896883569098,19.128233150523783,28.113647533327264,21.590623896638192,10.193760034897114
0,0,Marketing,Mid-Level,47.80653375475767,24.414760033667456,30.507341203357754,28.575345726073667,17.622382985227876,20.8911886873455
1,0,Marketing,Mid-Level,47.34763555153931,25.736468582074636,12.150330426817304,33.20176051648379,24.610575873225155,19.92171016946009
1,1,HR,Entry-Level,30.03426098842893,17.981554219112034,22.485858983934794,18.335344427374643,6.770464448881789,7.550537113472013
0,0,HR,Senior-Level,40.43947288799879,21.96531284526162,13.84365007499739,35.03726834381148,23.141308018403446,17.541134579181303
1,1,HR,Mid-Level,34.32336116200662,14.403369205622676,17.320703508803184,29.172192723363757,15.801686947243407,13.882721643833875
1,1,Marketing,Senior-Level,29.931960714597324,10.346489288806344,11.08665565701387,11.959032465098149,13.165284857724536,11.563022765799152
1,1,IT,Senior-Level,38.26386359660504,9.670933438856785,14.8560593575039,26.388119121916766,14.465188898316606,15.056300605541502
1,1,IT,Entry-Level,37.53213769235344,22.380792711385986,26.72571391333601,19.24019135914024,11.79817987819471,24.12329907977795
1,1,Marketing,Entry-Level,59.41373189076418,25.836589442288837,30.780554613982716,37.87681757683163,26.646405414910966,24.722746819070654
1,1,IT,Entry-Level,43.46367860288557,17.4987435772215,25.9605246295223,27.349883014465217,15.80358073107714,19.664420590626023
0,1,Marketing,Entry-Level,28.979059993966104,18.9338279513833,15.919225759745324,12.730452761574146,0.2336434023881946,12.651682652683878
0,1,IT,Senior-Level,35.48180796663246,11.469246921808072,22.163866603133755,27.340573268506603,6.742488206447076,13.325325168414725
0,1,Finance,Entry-Level,48.17106636343519,25.84209577348878,27.236158910467225,30.949682846567605,15.808169833325026,21.916470069208234
0,1,Finance,Entry-Level,56.7075421829594,26.99076941203165,25.195585253292464,33.81426010004011,21.25345611092992,25.659108131651408
0,1,Marketing,Entry-Level,27.312133502096334,7.096286559191567,20.205966119936182,14.781022110032971,9.206863353779614,12.599640565859227
0,1,IT,Entry-Level,24.96060491888764,10.84866192365426,11.445033993623232,16.20923245032849,14.767603489740464,6.854218951809375
1,1,HR,Senior-Level,54.967721402974256,29.59018085248669,22.85780670788587,36.19618774271996,9.343438085292323,23.524521044774232
0,1,IT,Entry-Level,43.11691341896723,23.37265689567845,21.894131725727426,26.167673444445256,15.699234898287948,23.062767975850548
0,1,Finance,Senior-Level,33.05365814498907,22.345237127899807,25.928935247374643,6.376717158548971,2.3948455061034917,13.866624806115656
1,1,Finance,Mid-Level,44.27703268897948,21.607426100876015,28.932502776507153,27.59789606390109,19.182948841748114,20.588315863107177
0,0,IT,Senior-Level,20.0,25.857802218912262,9.405360889532904,5.220451638326189,6.4768565537226275,9.769571568801922
1,0,IT,Senior-Level,40.027004052777286,13.402834732508733,20.56600749980439,23.825241196500208,16.00573287282377,19.967812016326807
0,1,HR,Entry-Level,42.62256938274468,17.179123745624654,22.15096954541681,19.462549119078993,10.490116866734816,21.833580138380377
1,0,HR,Mid-Level,47.39416111630264,21.01433379238548,36.80271824349612,22.367916395486006,22.864781692780078,20.30113476850408
1,0,IT,Mid-Level,31.888832381659697,7.250356249593073,19.68550347433442,25.991109433260732,16.288637498337025,9.688681265022677
0,0,IT,Mid-Level,40.68549729122687,23.51344767039323,24.82956885316831,23.681227273027282,17.054202946307505,12.08142137642581
0,0,IT,Mid-Level,32.5966029915233,19.180137573972374,23.32177681742449,18.27199329586283,10.678348154858819,19.649964655564332
1,0,IT,Senior-Level,42.043070045394536,19.006649249533133,24.63005965627136,28.53789376043999,17.507466701503077,22.63270424845935
1,1,Marketing,Mid-Level,32.837229421095806,12.098630481959347,17.00928146821257,18.551875081978974,7.875079008407604,17.915848490550044
1,1,IT,Senior-Level,36.73519328671824,9.048810095739105,19.495589151816578,33.34602599767399,17.04169694783146,20.46633850780257
1,1,HR,Senior-Level,32.033476841678166,10.4628802983644,17.49844923339253,18.54028258890887,19.377676453040014,13.502193338369478
0,1,Finance,Senior-Level,45.20908993458926,24.054330566065776,25.01484055864172,29.91824348133157,21.061290450508483,17.071392197930408
0,0,Marketing,Mid-Level,46.86760893325332,20.020995499398826,29.763609492814993,33.97791533584268,12.63649017699691,16.03462973075515
0,1,IT,Entry-Level,38.123035440340686,15.014009151762558,21.510694174174663,31.70065719950047,15.053221412924417,11.583546800156764
1,1,Finance,Entry-Level,40.30590395968023,20.6374840692517,26.130963883255365,21.33577982344972,7.538881160068803,24.06621978447192
1,0,Marketing,Mid-Level,28.41126868293165,18.570777849183457,15.433741230964728,15.564748726448984,12.733660123173408,10.22613858224045
0,1,Finance,Entry-Level,37.602586815945706,18.199831329070136,21.354026458937597,29.738947265225413,15.318318109683803,22.072097669255903
0,1,IT,Entry-Level,39.59836306366604,19.384543641626266,12.082354790067035,28.656460993147434,4.409666785869247,16.754924996034127
0,1,IT,Senior-Level,60.0,33.848273520085584,38.02750305822901,42.659465517467524,15.038531158236108,23.42195365429832
0,1,HR,Senior-Level,31.10426379380669,14.868963471113,19.070925678913106,12.484452100854769,9.391715449269858,8.423051840194018
1,1,IT,Mid-Level,51.7134179100195,21.71508251679177,33.81671684601013,39.87435969766623,16.463916493386833,20.160611525776623
1,0,IT,Mid-Level,47.97487018772647,24.94549400290696,12.261406718457286,26.00421546299247,10.621844083238049,28.522495698081705
1,1,Marketing,Entry-Level,42.245091235921095,17.71936905420138,33.990600275072374,27.21227298031183,16.623267700867768,13.450648380230966
0,0,HR,Senior-Level,54.06896387356107,22.481959003467438,29.441772681856698,32.85696654224906,20.044035400252778,34.73738532862896
0,1,Marketing,Mid-Level,42.97684378085491,25.70034210590062,29.49754244486554,22.313099887229303,13.96128130870317,14.995549647106095
