Campaign_Type,Customer_Segment,Avg_Session_Duration,Discount_Used,Total_Amount_Spent,Num_Ads_Clicked,Customer_Satisfaction_Score,Purchase_Frequency,Num_Reviews_Posted
0,Loyal Customer,27.452359779475522,6.203551208280891,123.71748049167623,4.129102361419206,4.7386956597797205,4,5.0
1,One-Time Buyer,35.62205797044369,13.270954852860626,116.75015735729465,3.209287454259844,7.324142274132048,4,3.0
0,Bargain Hunter,8.90997184439438,13.82038749189029,132.82256892143937,4.202358962355166,9.050338626524336,0,6.0
0,Bargain Hunter,41.432337939951,13.134584255277714,177.06309727781093,7.573226124634828,2.2229370750446282,7,4.0
0,Bargain Hunter,24.3878634176273,17.65874246243377,224.48430749734683,9.327090048086331,5.831323626834674,3,5.0
1,Bargain Hunter,13.50911520271672,11.98814548359804,174.13887810464882,6.475927208115609,5.117891245212208,0,3.0
0,High Spender,26.722531113895883,10.675273468119645,132.31569801304718,4.437536117348017,8.236700402246871,3,6.0
0,Bargain Hunter,12.137037180737302,13.810399381716833,116.2661332075425,3.0247551519753912,6.893279134468612,1,7.0
0,High Spender,29.898349267671822,10.762833041690818,126.12586242860468,4.480389307189416,7.92373086235072,5,6.0
1,High Spender,17.71217835872074,8.479218868211202,144.37364384242366,4.929871987909943,7.578930119294016,1,6.0
0,Bargain Hunter,22.6015100653768,10.095938231548429,104.45089354222205,3.61089366486066,7.1817010569245445,2,5.0
0,Bargain Hunter,21.571235094766593,9.236965420750892,87.88284413159212,2.943710935694426,4.567211412598508,3,2.0
0,Loyal Customer,2.06405965160773,13.709521933392729,126.25569589291618,3.738826756028879,7.222029891866645,0,7.0
0,One-Time Buyer,17.98874666587941,10.906928208128486,117.56510727553932,3.67953512000506,7.339465880438615,2,9.0
1,Bargain Hunter,17.63029256708961,11.28063164665674,142.4759253907465,5.30467298548204,8.760134881147664,1,6.0
0,Loyal Customer,28.052411378019542,12.645318104804945,111.10411628685065,3.9196787356046414,8.142205257182736,2,4.0
1,Loyal Customer,4.01021018829669,13.35197931100933,162.2079769201422,5.677592146028175,4.458764099749322,0,2.0
1,One-Time Buyer,7.867143735847132,7.5138050335626945,80.27700793388257,2.4776501556500423,9.541280192034089,0,3.0
1,High Spender,21.59097291125407,14.570557817668366,145.21125393170263,4.658585035728523,9.870797105115901,3,11.0
0,Bargain Hunter,21.291690270117822,15.130682964792076,194.86718871516953,7.667061596446947,9.560371247593121,1,3.0
1,One-Time Buyer,9.825292497706837,11.71031764224674,134.08931417775727,5.389731586026404,5.7157456523367935,0,4.0
0,Bargain Hunter,5.463367203138672,12.535206888836997,143.58780212027375,5.043459320641532,3.946844446801129,0,6.0
1,Loyal Customer,21.81880356052973,16.167002022325793,266.16677530317975,10.3585787196468,6.804395649824703,2,2.0
1,Loyal Customer,17.002134545715904,12.168296092610936,164.4720728993522,5.603352855229581,8.497090210237975,2,6.0
1,High Spender,12.903390779130865,11.541541365009195,130.68752322687254,4.859896689002541,7.068787590615166,2,4.0
1,Loyal Customer,5.5361334636192465,9.530612911819711,98.3988060373814,2.2522986149033515,6.2155350431120215,0,5.0
1,Loyal Customer,23.182873345073414,15.473244652827887,158.56775774389394,6.703998919696739,5.930855549028362,1,2.0
1,One-Time Buyer,25.459036827128266,14.640336824338451,184.1105023776889,8.074917879608051,6.977481084260946,3,6.0
1,Bargain Hunter,15.051463850223033,13.462244545618203,135.04873400690795,4.68258257656613,7.395300867336498,1,6.0
1,Bargain Hunter,71.92782134238422,11.536778188092374,130.35974957881348,4.088337251642736,8.683264511530151,14,4.0
0,One-Time Buyer,20.48607135651463,16.008610277996297,177.92066621008104,6.544518797397779,5.868434459060187,2,1.0
0,High Spender,11.40117973001247,11.590982474227609,115.91853922162599,3.1500636150445938,8.719902774663954,0,5.0
1,Bargain Hunter,11.460844141036631,13.387675316865888,167.21668692177934,6.132743249555467,6.0362629867484205,0,3.0
1,Loyal Customer,10.574225451388765,11.785860219554138,136.24852794944354,5.593004037635392,8.31596530839045,0,8.0
1,Bargain Hunter,14.343991691527746,6.170506612755503,61.587677306748574,0.6662650128946472,7.693034938222713,0,10.0
0,Loyal Customer,10.115521730003655,15.465909912154657,189.0415694376407,7.066048154086226,6.259926774863606,0,4.0
1,High Spender,14.135632968157442,14.46729689613819,190.95412730421899,7.457518930106691,0.8577708888217224,2,5.0
0,One-Time Buyer,6.937885545495659,10.382891738082758,127.73751316890336,4.1469625920330495,6.3195560673887305,0,5.0
0,Bargain Hunter,4.617570105511757,14.215261402503003,140.04675721757718,4.738994600944674,8.836251645618322,1,8.0
0,One-Time Buyer,20.134085580211963,6.987333250182379,89.75530603943963,2.0009323246020854,8.627347308540312,0,5.0
0,Bargain Hunter,32.36442725160471,11.607178474371171,149.04340530472075,6.483612360900699,5.962644244950086,4,3.0
0,Loyal Customer,10.362311097314134,14.541597805247587,149.72320615377038,4.816551460116541,7.695347084489999,1,4.0
1,One-Time Buyer,31.15409361781609,12.5983077587934,139.34523753905785,4.940893602148776,3.140422677219509,5,5.0
1,Bargain Hunter,24.866271920809105,11.994113996018333,141.79663702647696,4.6279016068747465,6.886326295586101,4,4.0
1,Loyal Customer,17.712736056870586,12.283689210437434,135.63364248274283,5.937234310745216,4.640994414173193,0,6.0
1,One-Time Buyer,25.463932043446945,13.127930906656509,155.38205129117654,4.84920854232069,3.5833929686813346,5,2.0
1,One-Time Buyer,15.085043867054214,8.841836665177743,137.5032351549917,5.411588473022741,7.1256689042722785,1,5.0
0,Bargain Hunter,32.02067865197735,11.424908496486772,142.4686453436539,3.662915492078709,9.05252797574711,5,3.0
1,Bargain Hunter,41.21017459130748,15.559283166940155,146.52479715825314,4.115058135676378,7.242413526940117,6,3.0
1,Bargain Hunter,9.479953861376526,13.104429718200848,188.46155975510368,8.28725074520003,6.036461994274235,0,2.0
0,Loyal Customer,10.234282762643462,10.246496080761613,117.66196217940563,3.2497490473123687,5.960939221065796,2,2.0
1,Bargain Hunter,13.257074399748113,8.617939694946436,94.02362443129621,2.9604612765582514,5.572742213591066,1,4.0
0,One-Time Buyer,32.215170348045284,9.2923829565174,89.3282680630735,2.4975980630278145,5.912033173254633,6,4.0
1,One-Time Buyer,10.397897732782804,10.967621931759854,142.67735188816903,5.399479470489046,8.854752090941595,0,6.0
